operating_name,first_category_vendor,First_Category,first_endorsements,first_issued,last_date_opname,last_ward_id,Count of ward_id,Years_Operation,last_latitude,last_longitude,    Average total income in 2020 among recipients ($),    Employed,    Median total income in 2020 among recipients ($),    Unemployed,  Average total income of one-person households in 2020 ($),  In the labour force,  Median total income of one-person households in 2020 ($),  Not in the labour force,Area (sq km),Meadian age,population between  15 and 19,Population over 20 and less than 54,Total - Population aged 15 years and over by Labour force status - 25% sample data,Total population,Unemployment rate
Dairy Bell,motorized refreshment vehicle owner,Desserts and Sweets,rv - motorized - ice cream;,1976-04-09 0:00,2023-07-09 0:00,11,4,47.25,43.6680462,-79.42076054,103900,55190,47200,8065,83700,63250,48800,30145,13.59728261167877,36.8,3490,60390,93395,102385,12.8
Mr Soft Twist,motorized refreshment vehicle owner,Desserts and Sweets,rv - motorized - ice cream;,2023-11-22 0:00,2024-02-01 0:00,20,1,0.25,43.71346037,-79.28478254,49160,46020,35600,9005,46880,55025,35200,36945,28.13809805826185,40.8,6425,52250,91970,110095,16.4
Mr Zen,motorized refreshment vehicle owner,Desserts and Sweets,rv - motorized - ice cream;,2023-07-20 0:00,2024-02-01 0:00,18,1,0.58,43.75813792,-79.40956269,55050,56595,36800,8240,63050,64830,47600,38860,19.76270392348029,39.2,5035,64180,103695,117130,12.7
Mr. Cool,non-motorized refreshment vehicle owner,Desserts and Sweets,rv - non-motorized - propane heater;,1982-07-26 0:00,2004-06-03 0:00,21,1,21.92,43.75133851,-79.30111804,41560,47210,33600,8815,45440,56030,37200,38565,28.205628137098813,40,6440,53680,94595,111560,15.7
Mr. Soft,motorized refreshment vehicle owner,Desserts and Sweets,rv - motorized - ice cream;,2013-04-19 0:00,2019-07-20 0:00,12,1,6.25,43.69084079,-79.43517779,96000,61350,50000,7470,79200,68825,52400,31815,13.12169436260066,39.6,4485,61305,100635,114095,10.9
Mr. T'S Icecream,motorized refreshment vehicle owner,Desserts and Sweets,rv - motorized - ice cream;,2003-06-18 0:00,2005-07-01 0:00,19,1,2.08,43.69166266,-79.31139705,69500,51100,44000,7910,56850,59010,41200,30810,16.803218951448542,41.2,5480,52970,89815,108500,13.4
Mr.Chu,non-motorized refreshment vehicle owner,Asian Cuisine,rv - trailer - electric;,2017-06-05 0:00,2018-07-26 0:00,18,1,1.08,43.77921819,-79.41705008,55050,56595,36800,8240,63050,64830,47600,38860,19.76270392348029,39.2,5035,64180,103695,117130,12.7
Mr.Frosty Ice Cream,motorized refreshment vehicle owner,Desserts and Sweets,rv - motorized - ice cream;,2005-04-12 0:00,2020-11-03 0:00,14,1,15.58,43.68652393,-79.33668246,70800,52435,45200,7515,61200,59950,41600,28425,20.80286727365419,40.8,4200,54260,88370,104555,12.5
Mrs Softy,motorized refreshment vehicle owner,Desserts and Sweets,rv - motorized - ice cream;,2008-02-29 0:00,2024-02-01 0:00,6,1,16,43.75978349,-79.45999166,50440,49825,36400,8200,51160,58030,37200,33770,35.36023323972172,41.6,5705,52725,91800,107355,14.1
Mrs. M'S,non-motorized refreshment vehicle owner,Canadian Cuisine,rv - trailer - propane heater;,2018-06-08 0:00,2021-11-06 0:00,5,1,3.42,43.67426461,-79.47325904,43360,48010,34800,9385,42400,57395,32000,39810,24.97949625827872,40.4,6390,55685,97205,115675,16.4
N.R.G. Xpress,non-motorized refreshment vehicle owner,Beverages,rv - non-motorized - ice cream;,2004-07-02 0:00,2005-10-02 0:00,15,1,1.25,43.70890315,-79.36614353,113600,46200,47200,6345,83200,52550,54400,31175,30.29693944212094,41.2,6665,46355,83725,101025,12.1
Nicholas Hotdogs & Sausages,non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2009-03-18 0:00,2019-06-18 0:00,5,1,10.25,43.69703199,-79.4870454,43360,48010,34800,9385,42400,57395,32000,39810,24.97949625827872,40.4,6390,55685,97205,115675,16.4
Nick Zarafonitis,non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2022-05-19 0:00,2024-02-01 0:00,15,1,1.75,43.70310761,-79.3867149,113600,46200,47200,6345,83200,52550,54400,31175,30.29693944212094,41.2,6665,46355,83725,101025,12.1
No Forks,motorized refreshment vehicle owner,Desserts and Sweets,rv - motorized - propane heater;,2016-11-03 0:00,2018-02-03 0:00,2,1,1.25,43.62913439,-79.57875057,69200,53450,44400,7830,64600,61275,51200,38625,37.349370192023244,45.2,6540,50130,99900,117200,12.8
Nomz,non-motorized refreshment vehicle owner,Desserts and Sweets,rv - non-motor. (not propane/ice cream);,2022-08-31 0:00,2023-11-29 0:00,16,1,1.25,43.71785311,-79.3116603,50680,40605,36400,7200,57400,47800,45200,31950,22.96489984859394,41.2,5225,44310,79750,94335,15.1
North Saigon,motorized refreshment vehicle owner,Asian Cuisine,rv - motorized - propane heater;,2017-09-19 0:00,2018-12-20 0:00,10,1,1.25,43.64539534,-79.37329688,78400,91810,58400,9945,86200,101755,69000,24385,12.81255621364045,32.8,2195,103865,126130,135400,9.8
Oasis Aqualounge,non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2011-07-20 0:00,2012-10-20 0:00,13,1,1.25,43.66191731,-79.37759898,59750,63845,40400,11345,61250,75190,42800,32435,5.863021520776558,34.8,3445,78250,107625,116930,15.1
Oats & Ivy,non-motorized refreshment vehicle owner,Beverages,rv - non-motor. (not propane/ice cream);,2014-06-13 0:00,2016-01-08 0:00,10,1,1.58,43.6383246,-79.4177959,78400,91810,58400,9945,86200,101755,69000,24385,12.81255621364045,32.8,2195,103865,126130,135400,9.8
Oha,non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2019-06-07 0:00,2020-11-03 0:00,19,1,1.42,43.66938437,-79.31558904,69500,51100,44000,7910,56850,59010,41200,30810,16.803218951448542,41.2,5480,52970,89815,108500,13.4
Olympic Softee Inc,motorized refreshment vehicle owner,Desserts and Sweets,rv - motorized - ice cream;,2002-04-08 0:00,2019-10-05 0:00,12,1,17.5,43.69084079,-79.43517779,96000,61350,50000,7470,79200,68825,52400,31815,13.12169436260066,39.6,4485,61305,100635,114095,10.9
Ontario Corn Roasters,non-motorized refreshment vehicle owner,Other Specialty Food,rv - non-motorized - propane heater;,2003-05-12 0:00,2006-09-13 0:00,8,1,3.33,43.72208628,-79.45045694,88500,53845,44400,7510,67900,61360,46000,34350,22.66246048850679,41.2,7220,53335,95710,114820,12.2
Ontario Ice Cream,motorized refreshment vehicle owner,Desserts and Sweets,rv - motorized - ice cream;,2019-06-24 0:00,2020-11-03 0:00,2,1,1.42,43.6607257,-79.57600801,69200,53450,44400,7830,64600,61275,51200,38625,37.349370192023244,45.2,6540,50130,99900,117200,12.8
Orange Oven,motorized refreshment vehicle owner,Italian Cuisine,rv - motorized - no heater;,2020-09-10 0:00,2022-02-08 0:00,12,1,1.42,43.69594461,-79.39929067,96000,61350,50000,7470,79200,68825,52400,31815,13.12169436260066,39.6,4485,61305,100635,114095,10.9
Palais Royale Ballroom,non-motorized refreshment vehicle owner,Specialty and Fusion,rv - trailer - propane heater;,2015-06-08 0:00,2024-02-01 0:00,4,1,8.67,43.63672131,-79.44718101,72800,54650,46800,8120,59200,62770,44800,26925,15.32836716725182,40,4680,56515,89700,104715,12.9
Pancake To Take,motorized refreshment vehicle owner,Desserts and Sweets,rv - motorized - no heater;,2019-04-15 0:00,2020-11-03 0:00,10,1,1.58,43.63987651,-79.41673718,78400,91810,58400,9945,86200,101755,69000,24385,12.81255621364045,32.8,2195,103865,126130,135400,9.8
Papa Cone Softy,motorized refreshment vehicle owner,Desserts and Sweets,rv - motorized - ice cream;,2023-05-17 0:00,2024-02-01 0:00,24,1,0.75,43.76825328,-79.22084213,41760,41920,33200,8155,44360,50075,33600,35505,26.11145829405803,38.4,6030,49535,85580,102755,16.3
Pat'S Catering Service,motorized refreshment vehicle owner,,rv - motorized - propane heater;,2002-06-12 0:00,2006-09-12 0:00,7,1,4.25,43.759446,-79.55627079,37240,43655,31400,9465,38760,53120,29200,39315,30.70157306,37.6,7175,54505,92430,111200,17.8
Paul & Roland A La Carte Food Management,non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2007-04-10 0:00,2016-07-11 0:00,20,1,9.25,43.7062764,-79.23186249,49160,46020,35600,9005,46880,55025,35200,36945,28.13809805826185,40.8,6425,52250,91970,110095,16.4
Perse Catering And Events,motorized refreshment vehicle owner,,rv - motorized - propane heater;,2017-06-12 0:00,2018-09-12 0:00,21,1,1.25,43.73098621,-79.30478354,41560,47210,33600,8815,45440,56030,37200,38565,28.205628137098813,40,6440,53680,94595,111560,15.7
Peter Harris Ice Cream Sales,non-motorized refreshment vehicle owner,Desserts and Sweets,rv - non-motorized - ice cream;,2004-07-30 0:00,2006-06-28 0:00,19,1,1.92,43.6782199,-79.29375068,69500,51100,44000,7910,56850,59010,41200,30810,16.803218951448542,41.2,5480,52970,89815,108500,13.4
Pita Express,motorized refreshment vehicle owner,Mediterranean & Middle Eastern,rv - motorized - propane heater;,2014-11-24 0:00,2024-02-01 0:00,3,1,9.25,43.638918,-79.4935704,71100,73170,47600,9780,67500,82950,51600,38510,39.99417467554395,40.8,5160,73835,121460,139920,11.8
Polar Bear Ice Cream,motorized refreshment vehicle owner,Desserts and Sweets,rv - motorized - ice cream;,2019-09-24 0:00,2024-02-01 0:00,20,1,4.42,43.72968298,-79.26381008,49160,46020,35600,9005,46880,55025,35200,36945,28.13809805826185,40.8,6425,52250,91970,110095,16.4
Polar Express 1,motorized refreshment vehicle owner,Desserts and Sweets,rv - motorized - ice cream;,2000-07-04 0:00,2017-10-10 0:00,14,1,17.25,43.68652393,-79.33668246,70800,52435,45200,7515,61200,59950,41600,28425,20.80286727365419,40.8,4200,54260,88370,104555,12.5
Preethi Catering,motorized refreshment vehicle owner,,rv - motorized - propane heater;,2019-06-06 0:00,2024-02-01 0:00,21,1,4.67,43.75133851,-79.30111804,41560,47210,33600,8815,45440,56030,37200,38565,28.205628137098813,40,6440,53680,94595,111560,15.7
Premium Near Beer,non-motorized refreshment vehicle owner,Beverages,rv - non-motor. (not propane/ice cream);,2015-03-06 0:00,2016-06-06 0:00,4,1,1.25,43.65861749,-79.46966236,72800,54650,46800,8120,59200,62770,44800,26925,15.32836716725182,40,4680,56515,89700,104715,12.9
Prince Edwards Fries,motorized refreshment vehicle owner,American Cuisine,rv - motorized - propane heater;,2014-05-09 0:00,2021-10-07 0:00,6,1,7.42,43.76573603,-79.48918963,50440,49825,36400,8200,51160,58030,37200,33770,35.36023323972172,41.6,5705,52725,91800,107355,14.1
Prisma Catering Ltd,motorized refreshment vehicle owner,,rv - motorized - propane heater;,1996-05-31 0:00,2004-07-30 0:00,9,1,8.17,43.67406219,-79.4594056,55550,54715,40400,8260,56350,62975,41200,28660,12.09534538559141,38.4,3895,60750,91630,104730,13.1
Pronto Pasta & Catering,motorized refreshment vehicle owner,Italian Cuisine,rv - motorized - propane heater;,2016-11-17 0:00,2018-02-17 0:00,9,1,1.25,43.68806215,-79.45042016,55550,54715,40400,8260,56350,62975,41200,28660,12.09534538559141,38.4,3895,60750,91630,104730,13.1
Pure Maya Coffee,non-motorized refreshment vehicle owner,Mexican Cuisine,rv - non-motor. (not propane/ice cream);,2022-04-04 0:00,2024-02-01 0:00,18,1,1.83,43.77604179,-79.43129286,55050,56595,36800,8240,63050,64830,47600,38860,19.76270392348029,39.2,5035,64180,103695,117130,12.7
Purity One Stop (A Taste Of Jamaica),motorized refreshment vehicle owner,Other international food,rv - motorized - propane heater;,2016-05-24 0:00,2020-11-03 0:00,2,1,4.5,43.68716603,-79.55863592,69200,53450,44400,7830,64600,61275,51200,38625,37.349370192023244,45.2,6540,50130,99900,117200,12.8
Que Rico,motorized refreshment vehicle owner,Other international food,rv - motorized - propane heater;,2017-01-23 0:00,2018-04-25 0:00,11,1,1.25,43.65532742,-79.41960673,103900,55190,47200,8065,83700,63250,48800,30145,13.59728261167877,36.8,3490,60390,93395,102385,12.8
Queen Arepa,motorized refreshment vehicle owner,Other international food,rv - motorized - propane heater;,2017-05-24 0:00,2020-11-03 0:00,9,1,3.5,43.66482999,-79.43770318,55550,54715,40400,8260,56350,62975,41200,28660,12.09534538559141,38.4,3895,60750,91630,104730,13.1
Quickie Pastry,motorized refreshment vehicle owner,Desserts and Sweets,rv - motorized - no heater;,2022-08-11 0:00,2023-11-09 0:00,13,1,1.25,43.65696902,-79.37412216,59750,63845,40400,11345,61250,75190,42800,32435,5.863021520776558,34.8,3445,78250,107625,116930,15.1
Racco Catering,motorized refreshment vehicle owner,,rv - motorized - propane heater;,1993-07-02 0:00,2006-10-02 0:00,5,1,13.25,43.7144348,-79.52257791,43360,48010,34800,9385,42400,57395,32000,39810,24.97949625827872,40.4,6390,55685,97205,115675,16.4
Rancho Gourmet Food Trucks,motorized refreshment vehicle owner,Mexican Cuisine,rv - motorized - propane heater;,2014-06-25 0:00,2018-09-25 0:00,14,1,4.25,43.6843739,-79.32769287,70800,52435,45200,7515,61200,59950,41600,28425,20.80286727365419,40.8,4200,54260,88370,104555,12.5
Rancho Relaxo To Go,motorized refreshment vehicle owner,Mexican Cuisine,rv - motorized - propane heater;,2018-06-11 0:00,2019-08-01 0:00,9,1,1.17,43.66460941,-79.45553299,55550,54715,40400,8260,56350,62975,41200,28660,12.09534538559141,38.4,3895,60750,91630,104730,13.1
Randy'S Curb Side,motorized refreshment vehicle owner,Other international food,rv - motorized - propane heater;,2020-06-29 0:00,2024-02-01 0:00,25,1,3.67,43.80929263,-79.19322535,47840,44200,37200,7815,52200,52015,40800,34435,54.07847454192885,42,6105,45745,86445,101485,15
Randy'S Roti & Double'S,motorized refreshment vehicle owner,Indian Cuisine,rv - motorized - propane heater;,2015-04-29 0:00,2019-11-30 0:00,25,1,4.58,43.80929263,-79.19322535,47840,44200,37200,7815,52200,52015,40800,34435,54.07847454192885,42,6105,45745,86445,101485,15
Raptour,motorized refreshment vehicle owner,Specialty and Fusion,rv - motorized - propane heater;,2013-12-17 0:00,2015-03-19 0:00,10,1,1.25,43.64152497,-79.39726033,78400,91810,58400,9945,86200,101755,69000,24385,12.81255621364045,32.8,2195,103865,126130,135400,9.8
Ravi Kitchen,motorized refreshment vehicle owner,,rv - motorized - propane heater;,2019-07-02 0:00,2020-11-03 0:00,10,1,1.33,43.64771372,-79.39205541,78400,91810,58400,9945,86200,101755,69000,24385,12.81255621364045,32.8,2195,103865,126130,135400,9.8
Ravisoups,motorized refreshment vehicle owner,Specialty and Fusion,rv - motorized - propane heater;,2017-01-18 0:00,2019-04-20 0:00,10,1,2.25,43.64771372,-79.39205541,78400,91810,58400,9945,86200,101755,69000,24385,12.81255621364045,32.8,2195,103865,126130,135400,9.8
Rebozos,motorized refreshment vehicle owner,Mexican Cuisine,rv - motorized - no heater;,2016-04-27 0:00,2022-07-27 0:00,9,1,6.25,43.68481349,-79.44962978,55550,54715,40400,8260,56350,62975,41200,28660,12.09534538559141,38.4,3895,60750,91630,104730,13.1
Rebozos Taqueria,motorized refreshment vehicle owner,Mexican Cuisine,rv - motorized - propane heater;,2023-06-02 0:00,2024-02-01 0:00,9,1,0.67,43.68481349,-79.44962978,55550,54715,40400,8260,56350,62975,41200,28660,12.09534538559141,38.4,3895,60750,91630,104730,13.1
Red Tie,motorized refreshment vehicle owner,Asian Cuisine,rv - motorized - propane heater;,2016-03-23 0:00,2017-06-23 0:00,22,1,1.25,43.77787231,-79.28075061,41560,41315,31600,8125,45840,49440,33600,40950,21.39897455007252,45.2,4930,46270,90390,103690,16.4
Rianbaby58,motorized refreshment vehicle owner,Asian Cuisine,rv - motorized - propane heater;,2016-06-24 0:00,2017-05-08 0:00,22,1,0.92,43.80139584,-79.32141161,41560,41315,31600,8125,45840,49440,33600,40950,21.39897455007252,45.2,4930,46270,90390,103690,16.4
Richard'S Catering,motorized refreshment vehicle owner,American Cuisine,rv - motorized - propane heater;,1986-04-08 0:00,2018-07-09 0:00,3,1,32.25,43.60125151,-79.53964363,71100,73170,47600,9780,67500,82950,51600,38510,39.99417467554395,40.8,5160,73835,121460,139920,11.8
Road Grill,motorized refreshment vehicle owner,American Cuisine,rv - motorized - propane heater;,2015-03-17 0:00,2020-11-13 0:00,18,1,5.67,43.76805999,-79.40223247,55050,56595,36800,8240,63050,64830,47600,38860,19.76270392348029,39.2,5035,64180,103695,117130,12.7
Roger Catering,motorized refreshment vehicle owner,,rv - motorized - propane heater;,1981-04-10 0:00,2005-07-01 0:00,24,1,24.25,43.76857202,-79.23867997,41760,41920,33200,8155,44360,50075,33600,35505,26.11145829405803,38.4,6030,49535,85580,102755,16.3
Rolling Gourmet,motorized refreshment vehicle owner,Asian Cuisine,rv - motorized - propane heater;,1990-05-09 0:00,2016-08-09 0:00,20,1,26.25,43.72968298,-79.26381008,49160,46020,35600,9005,46880,55025,35200,36945,28.13809805826185,40.8,6425,52250,91970,110095,16.4
Romi'S,motorized refreshment vehicle owner,Mediterranean & Middle Eastern,rv - motorized - propane heater;,2016-05-24 0:00,2019-08-24 0:00,12,1,3.25,43.69173393,-79.43080797,96000,61350,50000,7470,79200,68825,52400,31815,13.12169436260066,39.6,4485,61305,100635,114095,10.9
Ruru Baked,non-motorized refreshment vehicle owner,Desserts and Sweets,rv - non-motor. (not propane/ice cream);,2022-08-02 0:00,2024-02-01 0:00,9,1,1.5,43.65828762,-79.4424506,55550,54715,40400,8260,56350,62975,41200,28660,12.09534538559141,38.4,3895,60750,91630,104730,13.1
Rvl Tastee Treats To Eat,motorized refreshment vehicle owner,American Cuisine,rv - motorized - propane heater;,2004-04-30 0:00,2005-07-01 0:00,1,1,1.25,43.73467999,-79.57840272,39760,47840,32400,9430,45000,57265,35200,39355,48.36547443546212,38,7085,56585,96620,115120,16.5
Ryerson University,non-motorized refreshment vehicle owner,Desserts and Sweets,rv - non-motorized - ice cream;,2009-09-23 0:00,2012-11-20 0:00,13,1,3.17,43.65843698,-79.38081972,59750,63845,40400,11345,61250,75190,42800,32435,5.863021520776558,34.8,3445,78250,107625,116930,15.1
S & R Catering,motorized refreshment vehicle owner,,rv - motorized - propane heater;,1987-03-23 0:00,2003-12-19 0:00,20,1,16.75,43.72512013,-79.23062686,49160,46020,35600,9005,46880,55025,35200,36945,28.13809805826185,40.8,6425,52250,91970,110095,16.4
S Laplante Catering,motorized refreshment vehicle owner,American Cuisine,rv - motorized - propane heater;,2002-04-01 0:00,2006-07-02 0:00,19,1,4.25,43.66938437,-79.31558904,69500,51100,44000,7910,56850,59010,41200,30810,16.803218951448542,41.2,5480,52970,89815,108500,13.4
S.S. Foods,non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2015-05-20 0:00,2016-08-20 0:00,7,1,1.25,43.759446,-79.55627079,37240,43655,31400,9465,38760,53120,29200,39315,30.70157306,37.6,7175,54505,92430,111200,17.8
Safe Corp,non-motorized refreshment vehicle owner,Mediterranean & Middle Eastern,rv - trailer - propane heater;,2010-04-01 0:00,2014-07-02 0:00,20,1,4.25,43.70641608,-79.27422002,49160,46020,35600,9005,46880,55025,35200,36945,28.13809805826185,40.8,6425,52250,91970,110095,16.4
Sal'S Treat,motorized refreshment vehicle owner,Desserts and Sweets,rv - motorized - ice cream;,2023-08-15 0:00,2024-02-01 0:00,6,1,0.5,43.77813012,-79.44461448,50440,49825,36400,8200,51160,58030,37200,33770,35.36023323972172,41.6,5705,52725,91800,107355,14.1
Salwa Siddiqi,non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2013-08-01 0:00,2014-11-01 0:00,20,1,1.25,43.72968298,-79.26381008,49160,46020,35600,9005,46880,55025,35200,36945,28.13809805826185,40.8,6425,52250,91970,110095,16.4
Sam'S Gourmet,non-motorized refreshment vehicle owner,,rv - non-motorized - propane heater;,1987-04-16 0:00,2008-06-14 0:00,19,1,21.17,43.69166266,-79.31139705,69500,51100,44000,7910,56850,59010,41200,30810,16.803218951448542,41.2,5480,52970,89815,108500,13.4
Sams Grill N Thrill,motorized refreshment vehicle owner,Specialty and Fusion,rv - motorized - propane heater;,2023-09-20 0:00,2024-02-01 0:00,13,1,0.42,43.6694811,-79.37329177,59750,63845,40400,11345,61250,75190,42800,32435,5.863021520776558,34.8,3445,78250,107625,116930,15.1
Sannas Farmacia,non-motorized refreshment vehicle owner,Desserts and Sweets,rv - non-motor. (not propane/ice cream);,2016-07-08 0:00,2017-10-08 0:00,19,1,1.25,43.67108762,-79.2960879,69500,51100,44000,7910,56850,59010,41200,30810,16.803218951448542,41.2,5480,52970,89815,108500,13.4
Sarema Iceberg,motorized refreshment vehicle owner,Desserts and Sweets,rv - motorized - ice cream;,2010-04-12 0:00,2024-02-01 0:00,8,1,13.83,43.70229332,-79.43965959,88500,53845,44400,7510,67900,61360,46000,34350,22.66246048850679,41.2,7220,53335,95710,114820,12.2
Scoops N Smiles,motorized refreshment vehicle owner,Desserts and Sweets,rv - motorized - ice cream;,2021-08-03 0:00,2022-08-13 0:00,1,1,1,43.74284258,-79.58466097,39760,47840,32400,9430,45000,57265,35200,39355,48.36547443546212,38,7085,56585,96620,115120,16.5
Seoulchild,non-motorized refreshment vehicle owner,Asian Cuisine,rv - non-motorized - propane heater;,2022-05-06 0:00,2024-02-01 0:00,10,1,1.75,43.6447052,-79.41872512,78400,91810,58400,9945,86200,101755,69000,24385,12.81255621364045,32.8,2195,103865,126130,135400,9.8
Shahzad A Qureshi,non-motorized refreshment vehicle owner,,rv - non-motorized - propane heater;,2008-03-31 0:00,2010-04-30 0:00,21,1,2.08,43.74664753,-79.23195384,41560,47210,33600,8815,45440,56030,37200,38565,28.205628137098813,40,6440,53680,94595,111560,15.7
Sicilian Lunch Box,motorized refreshment vehicle owner,Italian Cuisine,rv - motorized - propane heater;,2003-05-20 0:00,2005-07-01 0:00,2,1,2.17,43.64254993,-79.5762856,69200,53450,44400,7830,64600,61275,51200,38625,37.349370192023244,45.2,6540,50130,99900,117200,12.8
Skynex Transport & Brokerage Inc,motorized refreshment vehicle owner,Desserts and Sweets,rv - motorized - ice cream;,2016-03-21 0:00,2017-06-21 0:00,3,1,1.25,43.6189052,-79.54757006,71100,73170,47600,9780,67500,82950,51600,38510,39.99417467554395,40.8,5160,73835,121460,139920,11.8
Slayer Burger,motorized refreshment vehicle owner,American Cuisine,rv - motorized - no heater;,2022-02-15 0:00,2024-02-01 0:00,19,1,2,43.71358542,-79.30789867,69500,51100,44000,7910,56850,59010,41200,30810,16.803218951448542,41.2,5480,52970,89815,108500,13.4
Small Girl,non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2017-07-19 0:00,2018-10-19 0:00,8,1,1.25,43.72208628,-79.45045694,88500,53845,44400,7510,67900,61360,46000,34350,22.66246048850679,41.2,7220,53335,95710,114820,12.2
Smoke Dog,non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,1987-04-23 0:00,2009-08-19 0:00,11,1,22.33,43.65374348,-79.3982383,103900,55190,47200,8065,83700,63250,48800,30145,13.59728261167877,36.8,3490,60390,93395,102385,12.8
Smokin'S Joe,non-motorized refreshment vehicle owner,American Cuisine,rv - trailer - propane heater;,2016-11-25 0:00,2023-01-30 0:00,8,1,6.17,43.70639781,-79.46776864,88500,53845,44400,7510,67900,61360,46000,34350,22.66246048850679,41.2,7220,53335,95710,114820,12.2
Snax Unlimited,motorized refreshment vehicle owner,American Cuisine,rv - motorized - propane heater;,2013-01-04 0:00,2015-09-25 0:00,1,1,2.67,43.71839169,-79.55238169,39760,47840,32400,9430,45000,57265,35200,39355,48.36547443546212,38,7085,56585,96620,115120,16.5
Softy Dairy,motorized refreshment vehicle owner,Desserts and Sweets,rv - motorized - ice cream;,1997-05-28 0:00,2006-08-28 0:00,20,1,9.25,43.7305392,-79.25674233,49160,46020,35600,9005,46880,55025,35200,36945,28.13809805826185,40.8,6425,52250,91970,110095,16.4
Spn Hot Dog,non-motorized refreshment vehicle owner,American Cuisine,rv - trailer - electric;,2020-11-03 0:00,2022-04-03 0:00,1,1,1.42,43.71208611,-79.56658348,39760,47840,32400,9430,45000,57265,35200,39355,48.36547443546212,38,7085,56585,96620,115120,16.5
Spring Loaded Toronto,motorized refreshment vehicle owner,American Cuisine,rv - motorized - propane heater;,2017-09-01 0:00,2019-11-05 0:00,25,1,2.17,43.78776803,-79.15615166,47840,44200,37200,7815,52200,52015,40800,34435,54.07847454192885,42,6105,45745,86445,101485,15
Stage 21,motorized refreshment vehicle owner,Beverages,rv - motorized - no heater;,2020-07-24 0:00,2024-02-01 0:00,4,1,3.58,43.65604332,-79.46925769,72800,54650,46800,8120,59200,62770,44800,26925,15.32836716725182,40,4680,56515,89700,104715,12.9
Starry Bites,motorized refreshment vehicle owner,Mediterranean & Middle Eastern,rv - motorized - propane heater;,2023-05-04 0:00,2024-02-01 0:00,10,1,0.75,43.64152497,-79.39726033,78400,91810,58400,9945,86200,101755,69000,24385,12.81255621364045,32.8,2195,103865,126130,135400,9.8
Starving Artist,motorized refreshment vehicle owner,Desserts and Sweets,rv - motorized - no heater;,2022-10-27 0:00,2024-02-01 0:00,1,1,1.33,43.71748229,-79.56655272,39760,47840,32400,9430,45000,57265,35200,39355,48.36547443546212,38,7085,56585,96620,115120,16.5
Steak & Cheese Factory + Quick Pita,non-motorized refreshment vehicle owner,American Cuisine,rv - trailer - electric;,2018-07-06 0:00,2022-10-05 0:00,13,1,4.25,43.65734679,-79.38097068,59750,63845,40400,11345,61250,75190,42800,32435,5.863021520776558,34.8,3445,78250,107625,116930,15.1
Steve Jackson Foods,motorized refreshment vehicle owner,American Cuisine,rv - motorized - propane heater;,2014-02-11 0:00,2015-05-14 0:00,20,1,1.25,43.71346037,-79.28478254,49160,46020,35600,9005,46880,55025,35200,36945,28.13809805826185,40.8,6425,52250,91970,110095,16.4
Stoke Stack,non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2014-07-02 0:00,2015-10-02 0:00,14,1,1.25,43.68044855,-79.35324169,70800,52435,45200,7515,61200,59950,41600,28425,20.80286727365419,40.8,4200,54260,88370,104555,12.5
Strategic Developments,non-motorized refreshment vehicle owner,,rv - non-motorized - propane heater;,2007-05-08 0:00,2008-08-08 0:00,14,1,1.25,43.65832971,-79.34568472,70800,52435,45200,7515,61200,59950,41600,28425,20.80286727365419,40.8,4200,54260,88370,104555,12.5
Streatibles,non-motorized refreshment vehicle owner,,rv - non-motorized - propane heater;,1986-09-05 0:00,2005-12-06 0:00,10,1,19.25,43.64805582,-79.41765564,78400,91810,58400,9945,86200,101755,69000,24385,12.81255621364045,32.8,2195,103865,126130,135400,9.8
Stuft,motorized refreshment vehicle owner,American Cuisine,rv - motorized - propane heater;,2012-09-06 0:00,2014-12-07 0:00,9,1,2.25,43.64428858,-79.4262374,55550,54715,40400,8260,56350,62975,41200,28660,12.09534538559141,38.4,3895,60750,91630,104730,13.1
Summer Santa Ice Cream,motorized refreshment vehicle owner,Desserts and Sweets,rv - motorized - ice cream;,2017-10-27 0:00,2024-02-01 0:00,11,1,6.33,43.6680462,-79.42076054,103900,55190,47200,8065,83700,63250,48800,30145,13.59728261167877,36.8,3490,60390,93395,102385,12.8
Sun Set Hut Caribbean,non-motorized refreshment vehicle owner,Other international food,rv - non-motorized - propane heater;,2022-11-07 0:00,2024-02-01 0:00,23,1,1.25,43.82321128,-79.25304012,38560,37745,30400,7740,47160,45490,35600,35445,30.43753122423298,42.8,4750,43235,80925,94025,17
Sunnysicecream,motorized refreshment vehicle owner,Desserts and Sweets,rv - motorized - ice cream;,2022-07-28 0:00,2023-10-26 0:00,8,1,1.25,43.72208628,-79.45045694,88500,53845,44400,7510,67900,61360,46000,34350,22.66246048850679,41.2,7220,53335,95710,114820,12.2
